question,median,mean,quant_05,quant_95,type
Overall,0.4083283,0.4124274,0.1953995,0.6442051,expert
Consortium,0.2022405,0.2158563,0.0548169,0.4201133,expert
Government lab,0.0796609,0.0989912,0.004956,0.2580597,expert
Nationalization,0.0672051,0.0820003,0.0056388,0.2082268,expert
Private contractor,0.1591172,0.1722979,0.0376631,0.3528878,expert
Legal compulsion,0.0750978,0.0908688,0.0071368,0.2278325,expert
Military,0.5450944,0.5417942,0.2908337,0.7833324,expert
Overall,0.3356829,0.3453011,0.1133403,0.610256,forecaster
Consortium,0.1827606,0.1984445,0.0395302,0.4084966,forecaster
Government lab,0.0434883,0.0592296,0.0016516,0.1693082,forecaster
Nationalization,0.0602714,0.0747345,0.0045399,0.1947465,forecaster
Private contractor,0.0929403,0.1083826,0.0122892,0.257901,forecaster
Legal compulsion,0.0294625,0.0457151,0.0002397,0.1464205,forecaster
Military,0.4060353,0.4103373,0.1951636,0.637139,forecaster
Overall,0.3741465,0.3788642,0.1447407,0.6299637,all
Consortium,0.1926596,0.2071504,0.0464378,0.4147285,all
Government lab,0.0591317,0.0791104,0.0026239,0.2237918,all
Nationalization,0.0636348,0.0783674,0.0050469,0.2020396,all
Private contractor,0.1233087,0.1403403,0.0194457,0.3178466,all
Legal compulsion,0.0497955,0.0682919,0.0010088,0.1983389,all
Military,0.4718205,0.4760658,0.2261141,0.7402428,all
