time,question,usercode,low,main,high,type
12:57:27,q0,stroustrup,0,0,40,forecaster
12:57:28,q0,stroustrup,0,21,40,forecaster
12:57:28,q0,stroustrup,7,21,40,forecaster
12:57:34,q0,stroustrup,7,26,40,forecaster
12:57:35,q0,stroustrup,7,22,40,forecaster
12:57:35,q0,stroustrup,7,21,40,forecaster
12:57:37,q0,stroustrup,7,20,40,forecaster
12:57:58,q0,sammet,0,0,17,forecaster
12:58:01,q0,sammet,0,9,17,forecaster
12:58:05,q0,sammet,0,5,17,forecaster
12:58:32,q0,bourne,0,0,65,forecaster
12:58:36,q0,bourne,0,0,80,forecaster
12:58:37,q0,sammet,0,5,25,forecaster
12:58:42,q0,bourne,0,50,80,forecaster
12:58:44,q0,bourne,10,50,80,forecaster
12:58:47,q0,bourne,10,50,70,forecaster
12:58:50,q0,bourne,10,45,70,forecaster
12:58:58,q0,babbage,0,0,41,expert
12:59:01,q0,babbage,0,0,41,expert
12:59:02,q0,babbage,0,0,0,expert
12:59:19,q0,turing,0,0,60,expert
12:59:22,q0,rossum,0,0,69,forecaster
12:59:28,q0,turing,0,50,60,expert
12:59:30,q0,rossum,0,0,70,forecaster
12:59:33,q0,turing,10,50,60,expert
12:59:36,q0,turing,10,50,70,expert
12:59:47,q0,turing,10,45,70,expert
13:00:00,q0,rossum,0,0,67,forecaster
13:00:00,q0,torvalds,0,0,45,forecaster
13:00:01,q0,torvalds,0,17,45,forecaster
13:00:03,q0,torvalds,0,17,75,forecaster
13:00:05,q0,torvalds,0,49,75,forecaster
13:00:06,q0,torvalds,28,49,75,forecaster
13:00:21,q0,stroustrup,6,20,40,forecaster
13:00:22,q0,stroustrup,4,20,40,forecaster
13:00:25,q0,stroustrup,4,20,75,forecaster
13:00:27,q0,babbage,0,0,2,expert
13:00:27,q0,babbage,0,0,2,expert
13:00:34,q0,babbage,0,0,90,expert
13:00:38,q0,turing,10,40,70,expert
13:00:40,q0,bourne,10,45,65,forecaster
13:00:40,q0,rossum,0,0,67,forecaster
13:00:41,q0,babbage,0,57,90,expert
13:00:42,q0,bourne,10,40,65,forecaster
13:00:48,q0,turing,3,40,70,expert
13:00:52,q0,turing,3,40,65,expert
13:00:53,q0,babbage,10,57,90,expert
13:00:59,q0,turing,3,40,65,expert
13:01:02,q0,stroustrup,5,20,75,forecaster
13:01:08,q0,turing,1,40,65,expert
13:01:10,q0,babbage,26,57,90,expert
13:01:12,q0,turing,3,40,65,expert
13:01:12,q0,babbage,25,57,90,expert
13:01:17,q0,babbage,25,57,90,expert
13:01:35,q0,turing,3,40,65,expert
13:02:04,q0,rossum,0,34,67,forecaster
13:02:07,q0,rossum,13,34,67,forecaster
13:02:11,q0,babbage,25,46,90,expert
13:02:12,q0,rossum,13,67,67,forecaster
13:02:12,q0,torvalds,3,49,75,forecaster
13:02:16,q0,rossum,13,63,67,forecaster
13:02:16,q0,torvalds,3,9,75,forecaster
13:02:18,q0,rossum,13,63,89,forecaster
13:02:21,q0,torvalds,3,9,16,forecaster
13:02:22,q0,rossum,13,63,80,forecaster
13:02:23,q0,torvalds,3,8,16,forecaster
13:02:25,q0,torvalds,2,8,16,forecaster
13:02:25,q0,rossum,40,63,80,forecaster
13:02:28,q0,turing,3,42,65,expert
13:02:28,q0,rossum,40,65,80,forecaster
13:02:28,q0,torvalds,2,6,16,forecaster
13:02:30,q0,babbage,15,46,90,expert
13:02:33,q0,shannon,0,0,38,expert
13:02:36,q0,babbage,15,43,90,expert
13:02:37,q0,shannon,0,19,38,expert
13:02:38,q0,shannon,0,19,38,expert
13:02:38,q0,babbage,15,43,85,expert
13:02:45,q0,shannon,0,19,45,expert
13:02:48,q0,hopper,0,0,35,expert
13:02:50,q0,shannon,0,19,40,expert
13:02:56,q0,hopper,0,18,35,expert
13:02:56,q0,shannon,0,15,40,expert
13:02:58,q0,lovelace,0,0,25,expert
13:03:01,q0,hopper,0,18,50,expert
13:03:05,q0,lovelace,0,12,25,expert
13:03:07,q0,lovelace,0,12,40,expert
13:03:07,q0,hopper,0,35,50,expert
13:03:10,q0,lovelace,0,25,40,expert
13:03:13,q0,hopper,20,35,50,expert
13:03:13,q0,lovelace,0,25,50,expert
13:03:14,q0,shannon,0,15,35,expert
13:03:18,q0,lovelace,0,25,50,expert
13:03:22,q0,lovelace,0,25,45,expert
13:03:43,q0,lovelace,0,35,45,expert
13:03:44,q0,lovelace,0,35,57,expert
13:03:45,q0,lovelace,0,40,57,expert
13:03:48,q0,lovelace,0,40,60,expert
13:04:00,q0,turing,3,40,65,expert
13:04:01,q0,matsumoto,0,0,31,forecaster
13:04:04,q0,matsumoto,0,8,31,forecaster
13:04:09,q0,matsumoto,0,15,31,forecaster
13:04:19,q0,bourne,5,40,65,forecaster
13:04:24,q0,lovelace,5,40,60,expert
13:04:25,q0,matsumoto,0,15,70,forecaster
13:04:34,q0,shannon,0,15,40,expert
13:04:35,q0,matsumoto,0,25,70,forecaster
13:04:35,q0,bourne,5,35,65,forecaster
13:04:40,q0,matsumoto,10,25,70,forecaster
13:04:53,q0,matsumoto,15,25,70,forecaster
13:05:00,q0,matsumoto,9,25,70,forecaster
13:05:11,q0,shannon,0,20,40,expert
13:05:38,q0,matsumoto,10,25,70,forecaster
13:06:35,q0,matsumoto,10,35,70,forecaster
13:07:18,q0,babbage,15,40,85,expert
13:07:51,q0,matsumoto,10,35,80,forecaster
13:08:34,q0,lovelace,5,15,60,expert
13:08:36,q0,lovelace,1,15,60,expert
13:08:40,q0,lovelace,1,15,30,expert
13:08:48,q0,lovelace,1,30,30,expert
13:08:49,q0,lovelace,1,30,72,expert
13:08:52,q0,lovelace,1,40,72,expert
13:08:57,q0,lovelace,1,40,60,expert
13:08:59,q0,lovelace,5,40,60,expert
13:09:01,q0,matsumoto,3,35,80,forecaster
13:09:09,q0,matsumoto,3,35,83,forecaster
13:10:53,q0,bourne,5,30,65,forecaster
13:10:55,q0,bourne,3,30,65,forecaster
13:11:46,q0,bourne,3,35,65,forecaster
13:18:28,q0,matsumoto,3,40,83,forecaster
13:20:59,q0,matsumoto,3,43,83,forecaster
13:21:43,q0,matsumoto,3,36,83,forecaster
13:22:43,q0,stroustrup,5,20,64,forecaster
13:22:44,q0,stroustrup,5,20,65,forecaster
13:32:56,q0,bourne,3,33,65,forecaster
13:45:56,q0,stroustrup,5,25,65,forecaster
13:46:46,q0,turing,10,40,65,expert
13:47:00,q0,sammet,0,7,25,forecaster
13:47:02,q0,sammet,0,6,25,forecaster
13:47:05,q0,sammet,0,6,30,forecaster
13:47:11,q0,turing,3,40,65,expert
13:47:17,q0,turing,15,40,65,expert
13:50:10,q0,lovelace,5,45,60,expert
13:50:16,q0,lovelace,5,45,65,expert
13:50:20,q0,lovelace,10,45,65,expert
13:50:26,q0,shannon,0,25,40,expert
13:50:28,q0,shannon,0,25,45,expert
13:50:31,q0,bourne,3,33,75,forecaster
13:50:34,q0,bourne,3,33,75,forecaster
13:50:37,q0,bourne,3,37,75,forecaster
13:50:49,q0,matsumoto,3,41,83,forecaster
13:50:56,q0,bourne,5,37,75,forecaster
13:51:55,q0,matsumoto,3,45,83,forecaster
13:51:55,q0,bourne,5,40,75,forecaster
13:51:56,q0,matsumoto,3,46,83,forecaster
13:53:37,q0,sammet,0,6,30,forecaster
13:53:41,q0,sammet,1,6,30,forecaster
13:53:44,q0,sammet,1,6,35,forecaster
13:53:58,q0,matsumoto,3,46,83,forecaster
13:54:01,q0,matsumoto,3,46,86,forecaster
13:54:07,q0,babbage,15,45,85,expert
13:54:35,q0,hopper,20,35,60,expert
13:54:39,q0,hopper,20,46,60,expert
13:54:42,q0,hopper,20,45,60,expert
13:55:33,q0,torvalds,2,6,16,forecaster
13:55:35,q0,torvalds,2,6,22,forecaster
13:55:36,q0,torvalds,2,6,21,forecaster
13:56:12,q0,torvalds,0,6,21,forecaster
14:05:23,q0,matsumoto,3,30,86,forecaster
14:05:27,q0,matsumoto,3,30,70,forecaster
14:07:53,q0,matsumoto,3,31,70,forecaster
14:09:24,q0,matsumoto,3,26,70,forecaster
14:09:26,q0,matsumoto,3,26,65,forecaster
14:17:45,q0,sammet,1,6,40,forecaster
14:17:48,q0,sammet,1,8,40,forecaster
14:29:35,q0,matsumoto,3,24,65,forecaster
14:29:37,q0,matsumoto,3,24,60,forecaster
14:49:00,q0,shannon,0,25,50,expert
14:49:12,q0,shannon,5,25,50,expert
14:50:48,q0,bourne,5,40,65,forecaster
14:51:40,q0,bourne,5,38,65,forecaster
14:52:37,q0,torvalds,0,6,29,forecaster
14:52:39,q0,torvalds,0,6,29,forecaster
14:52:41,q0,torvalds,0,6,35,forecaster
14:52:46,q0,torvalds,0,8,35,forecaster
12:53:33,q0,bourne,5,40,65,forecaster
12:53:35,q0,bourne,5,38,65,forecaster
12:53:40,q0,bourne,5,35,65,forecaster
12:53:43,q0,bourne,5,35,60,forecaster
12:54:03,q0,bourne,5,36,60,forecaster
12:54:14,q0,bourne,5,38,60,forecaster
13:01:02,q1,sammet,0,1,13,forecaster
13:01:02,q1,bourne,0,0,0,forecaster
13:01:03,q1,sammet,0,2,13,forecaster
13:01:04,q1,sammet,0,1,13,forecaster
13:01:10,q1,sammet,0,1,6,forecaster
13:01:12,q1,sammet,0,1,9,forecaster
13:01:13,q1,sammet,0,1,9,forecaster
13:01:14,q1,sammet,0,1,10,forecaster
13:03:16,q1,sammet,0,3,10,forecaster
13:03:46,q1,torvalds,0,2,12,forecaster
13:03:47,q1,torvalds,0,2,12,forecaster
13:03:49,q1,torvalds,0,2,4,forecaster
13:03:50,q1,torvalds,0,2,4,forecaster
13:05:45,q1,bourne,0,0,0,forecaster
13:05:50,q1,bourne,0,0,26,forecaster
13:05:53,q1,bourne,0,5,26,forecaster
13:06:01,q1,bourne,0,5,30,forecaster
13:06:24,q1,lovelace,0,0,25,expert
13:07:48,q1,shannon,0,0,12,expert
13:07:50,q1,turing,0,20,30,expert
13:07:53,q1,shannon,0,0,16,expert
13:07:53,q1,turing,0,15,30,expert
